S13555400025|07/24/2013|3943|Good and Quick Co|519 LINCOLNWAY|NEVADA|50201|85|Story|1081600|WHISKEY LIQUEUR|260|Diageo Americas|67267|12|1000|$11.75|$17.62|2|$35.24|2.00|0.53
S11460200054|04/04/2013|2529|Hy-Vee Drugstore #4 / Cedar Rapids|4825 JOHNSON AVE NW|CEDAR RAPIDS|52405|57|Linn|1031080|VODKA 80 PROOF|297|Laird And Company|35917|12|1000|$4.17|$6.25|2|$12.50|2.00|0.53
S11615400004|04/15/2013|4524|Casey's General Store #1139 / Nora S|14 E CONGRESS|NORA SPRINGS|50458|34|Floyd|1031080|VODKA 80 PROOF|297|Laird And Company|35918|6|1750|$7.20|$10.79|18|$194.22|31.50|8.32
S04958800091|04/09/2012|2633|Hy-Vee #3 / BDI / Des Moines|3221 SE 14TH ST|DES MOINES|50320|77|Polk|1012200|SCOTCH WHISKIES|260|Diageo Americas|5289|12|1000|$14.98|$22.47|12|$269.64|12.00|3.17
S20329100034|07/31/2014|3698|Ingersoll Wine Merchants|1300  50TH ST|WEST DES MOINES|50266|77|Polk|1032200|IMPORTED VODKA - MISC|35|Bacardi U.S.A., Inc.|34605|6|750|$18.49|$27.74|2|$55.48|1.50|0.40
S09979300008|01/10/2013|2529|Hy-Vee Drugstore #4 / Cedar Rapids|4825 JOHNSON AVE NW|CEDAR RAPIDS|52405|57|Linn|1011100|BLENDED WHISKIES|297|Laird And Company|23827|12|1000|$4.40|$6.59|12|$79.08|12.00|3.17
S11577700018|04/10/2013|3625|Wal-Mart 0892 / Ankeny|1002 SE NATIONAL DR|ANKENY|50021|77|Polk|1062310|SPICED RUM|260|Diageo Americas|43302|12|750|$11.00|$16.50|12|$198.00|9.00|2.38
S12175200011|05/13/2013|2565|Hy-Vee Food Store / Spencer|819 N GRAND AVE|SPENCER|51301|21|Clay|1031080|VODKA 80 PROOF|434|Luxco-St Louis|36308|6|1750|$7.13|$10.70|12|$128.40|21.00|5.55
S13095400056|07/01/2013|2515|Hy-Vee Food Store #1 / Mason City|2400 4TH ST SW|MASON CITY|50401|17|Cerro Gordo|1042100|IMPORTED DRY GINS|260|Diageo Americas|28867|12|1000|$14.99|$22.48|12|$269.76|12.00|3.17
S13871400001|08/13/2013|4775|Casey's General Store #37 / Dakota C|502, MAIN|DAKOTA CITY|50529|46|Humboldt|1062310|SPICED RUM|259|Heaven Hill Brands|43026|12|750|$5.77|$8.66|12|$103.92|9.00|2.38
S24742300137|03/26/2015|5102|Wilkie Liquors|724, 1st  ST  SE|MOUNT VERNON|52314|57|Linn|1042100|IMPORTED DRY GINS|260|Diageo Americas|28890|12|750|$12.50|$18.75|3|$56.25|2.25|0.59
S05101300107|04/17/2012|3495|Great Pastimes|228 N MAIN ST|MONTICELLO|52310|53|Jones|1012100|CANADIAN WHISKIES|115|Constellation Wine Company, Inc.|11773|48|200|$1.56|$2.34|12|$28.08|2.40|0.63
S05796100019|05/30/2012|3660|Wal-Mart 2935 / Knoxville|814 W BELL AVE|KNOXVILLE|50138|63|Marion|1101100|AMERICAN ALCOHOL|434|Luxco-St Louis|41846|12|750|$8.25|$12.38|6|$74.28|4.50|1.19
S06096900108|06/18/2012|2512|Hy-Vee Wine and Spirits / Iowa City|1720 WATERFRONT DR|IOWA CITY|52240|52|Johnson|1031080|VODKA 80 PROOF|297|Laird And Company|35917|12|1000|$4.01|$6.01|24|$144.24|24.00|6.34
S19128800024|05/22/2014|4165|I-35 Spirits / Ankeny|113 SE DELAWARE AVE STE 101|ANKENY|50023|77|Polk|1031080|VODKA 80 PROOF|260|Diageo Americas|38008|6|1750|$14.75|$22.12|2|$44.24|3.50|0.92
S13750400014|08/06/2013|4429|Kum & Go #32 / Colfax|1200 N WALNUT ST|COLFAX|50054|50|Jasper|1082900|MISC. IMPORTED CORDIALS & LIQUEURS|192|Sidney Frank Importing Co.|65254|24|375|$6.51|$9.77|6|$58.62|2.25|0.59
S18980000105|05/15/2014|2627|Hy-Vee Wine and Spirits #1|3424 MARTIN LUTHER KING JR PKW|DES MOINES|50310|77|Polk|1062200|PUERTO RICO & VIRGIN ISLANDS RUM|35|Bacardi U.S.A., Inc.|43156|12|750|$13.50|$20.25|6|$121.50|4.50|1.19
S28330000037|10/07/2015|5172|Uptown Liquor & Tobacco|2000 WILLEY BLVD SW|CEDAR RAPIDS|52404|57|Linn|1032080|IMPORTED VODKA|370|Pernod Ricard USA/Austin Nichols|34004|24|375|$6.49|$9.74|4|$38.96|1.50|0.40
S20148600012|07/17/2014|4803|Walgreens #07453 / Des Moines|104 E EUCLID AVE|DES MOINES|50313|77|Polk|1081600|WHISKEY LIQUEUR|421|Sazerac Co., Inc.|64866|12|750|$8.98|$13.47|12|$161.64|9.00|2.38
S07929800099|09/25/2012|2614|Hy-Vee #3 Food and Drugstore|1823 E KIMBERLY RD|DAVENPORT|52807|82|Scott|1081200|CREAM LIQUEURS|434|Luxco-St Louis|68846|12|750|$7.69|$11.53|2|$23.06|1.50|0.40
S09862200007|01/03/2013|3440|Hawkeye Pantry|501 LOCUST ST|DES MOINES|50309|77|Polk|1011100|BLENDED WHISKIES|65|Jim Beam Brands|22786|12|750|$3.25|$4.88|12|$58.56|9.00|2.38
S14305600008|09/04/2013|4291|Fareway Stores #597 / Creston|105 E ADAMS ST|CRESTON|50801|88|Union|1031080|VODKA 80 PROOF|434|Luxco-St Louis|36308|6|1750|$7.17|$10.76|6|$64.56|10.50|2.77
S12219300026|05/14/2013|3774|Eagle Country Market / Dubuque|1800 ELM ST|DUBUQUE|52001|31|Dubuque|1012200|SCOTCH WHISKIES|35|Bacardi U.S.A., Inc.|4866|12|750|$13.73|$20.59|3|$61.77|2.25|0.59
S22743400064|12/04/2014|2959|Dahl's / Merle Hay|4343 MERLE HAY ROAD|DES MOINES|50310|77|Polk|1062310|SPICED RUM|259|Heaven Hill Brands|43028|6|1750|$11.55|$17.33|6|$103.98|10.50|2.77
S26070700013|06/08/2015|4312|I-80 Liquor / Council Bluffs|2411 S 24TH ST #1|COUNCIL BLUFFS|51501|78|Pottawattamie|1081600|WHISKEY LIQUEUR|421|Sazerac Co., Inc.|64864|24|375|$5.33|$8.00|48|$384.00|18.00|4.76
S09885000005|01/07/2013|4221|Kwik Stop / Texas St|4335 TEXAS ST|WATERLOO|50702|07|Black Hawk|1062300|FLAVORED RUM|370|Pernod Ricard USA/Austin Nichols|42716|12|750|$7.50|$11.24|12|$134.88|9.00|2.38
S28458300015|10/14/2015|5151|IDA Liquor|500, HWY 175|IDA GROVE|51445|47|Ida|1041150|FLAVORED GINS|370|Pernod Ricard USA/Austin Nichols|33256|12|750|$6.49|$9.74|12|$116.88|9.00|2.38
S25940400007|06/03/2015|5025|Hawkeye Convenience Stores / 1st Ave|1581 1ST AVE SE|CEDAR RAPIDS|52403|57|Linn|1052010|IMPORTED GRAPE BRANDIES|389|REMY COINTREAU USA         .|49189|24|200|$5.70|$8.55|24|$205.20|4.80|1.27
S03613800042|01/17/2012|2959|Dahl's / Merle Hay|4343 MERLE HAY ROAD|DES MOINES|50310|77|Polk|1062200|PUERTO RICO & VIRGIN ISLANDS RUM|35|Bacardi U.S.A., Inc.|43038|6|1750|$14.67|$22.00|6|$132.00|10.50|2.77
